Date,Cases_Inside_Wuhan,Cases_China
02/12/2019,1,1
03/12/2019,0,0
04/12/2019,0,0
05/12/2019,0,0
06/12/2019,0,0
07/12/2019,0,0
08/12/2019,1,1
09/12/2019,0,0
10/12/2019,0,1
11/12/2019,1,1
12/12/2019,3,4
13/12/2019,0,0
14/12/2019,0,0
15/12/2019,4,4
16/12/2019,1,1
17/12/2019,8,8
18/12/2019,3,5
19/12/2019,2,2
20/12/2019,12,13
21/12/2019,5,5
22/12/2019,10,10
23/12/2019,12,12
24/12/2019,12,12
25/12/2019,12,13
26/12/2019,11,11
27/12/2019,25,27
28/12/2019,13,13
29/12/2019,16,17
30/12/2019,21,23
31/12/2019,17,18
01/01/2020,83,97
02/01/2020,76,84
03/01/2020,69,78
04/01/2020,58,68
05/01/2020,118,135
06/01/2020,69,77
07/01/2020,65,79
08/01/2020,133,153
09/01/2020,133,155
10/01/2020,182,251
11/01/2020,182,243
12/01/2020,207,290
13/01/2020,267,369
14/01/2020,292,419
15/01/2020,381,594
16/01/2020,473,744
17/01/2020,562,953
18/01/2020,625,1066
19/01/2020,647,1221
20/01/2020,1217,1981
21/01/2020,1182,2130
22/01/2020,1511,2713
23/01/2020,1865,3335
24/01/2020,1979,3629
25/01/2020,1986,3600
26/01/2020,2035,3742
27/01/2020,1894,3572
28/01/2020,2011,3604
29/01/2020,1628,3172
30/01/2020,1844,3286
31/01/2020,1657,2981
01/02/2020,3314,5050
02/02/2020,1710,2897
03/02/2020,1568,2663
04/02/2020,1416,2447
05/02/2020,1597,2416
06/02/2020,1239,2009
07/02/2020,1221,1896
08/02/2020,1101,1680
09/02/2020,835,1330
10/02/2020,1062,1542
11/02/2020,807,1164
